Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,xg_home,xg_away
2024-08-23,Gladbach,Leverkusen,2,3,A,1.6,2.7
2024-08-24,Hoffenheim,Holstein Kiel,3,2,H,3.5,1.7
2024-08-24,Mainz 05,Union Berlin,1,1,D,1.2,0.6
2024-08-24,Augsburg,Werder Bremen,2,2,D,1.0,1.4
2024-08-24,Freiburg,Stuttgart,3,1,H,2.1,0.4
2024-08-24,RB Leipzig,Bochum,1,0,H,1.3,1.0
2024-08-24,Dortmund,Eint Frankfurt,2,0,H,1.7,1.4
2024-08-25,Wolfsburg,Bayern Munich,2,3,A,1.9,2.4
2024-08-25,St. Pauli,Heidenheim,0,2,A,1.2,1.1
2024-08-30,Union Berlin,St. Pauli,1,0,H,1.1,0.5
2024-08-31,Leverkusen,RB Leipzig,2,3,A,2.2,1.1
2024-08-31,Stuttgart,Mainz 05,3,3,D,3.8,2.3
2024-08-31,Holstein Kiel,Wolfsburg,0,2,A,1.1,1.3
2024-08-31,Werder Bremen,Dortmund,0,0,D,0.3,0.6
2024-08-31,Eint Frankfurt,Hoffenheim,3,1,H,2.4,1.0
2024-08-31,Bochum,Gladbach,0,2,A,0.7,2.9
2024-09-01,Heidenheim,Augsburg,4,0,H,3.1,0.7
2024-09-01,Bayern Munich,Freiburg,2,0,H,1.5,1.0
2024-09-13,Dortmund,Heidenheim,4,2,H,2.6,1.8
2024-09-14,Hoffenheim,Leverkusen,1,4,A,0.9,3.5
2024-09-14,Holstein Kiel,Bayern Munich,1,6,A,0.3,3.2
2024-09-14,Wolfsburg,Eint Frankfurt,1,2,A,1.5,2.5
2024-09-14,RB Leipzig,Union Berlin,0,0,D,1.3,0.6
2024-09-14,Gladbach,Stuttgart,1,3,A,1.6,2.2
2024-09-14,Freiburg,Bochum,2,1,H,3.7,0.9
2024-09-15,Augsburg,St. Pauli,3,1,H,2.7,0.5
2024-09-15,Mainz 05,Werder Bremen,1,2,A,1.1,1.6
2024-09-20,Augsburg,Mainz 05,2,3,A,2.4,1.0
2024-09-21,Eint Frankfurt,Gladbach,2,0,H,2.7,1.7
2024-09-21,Heidenheim,Freiburg,0,3,A,0.7,1.4
2024-09-21,Werder Bremen,Bayern Munich,0,5,A,0.0,3.0
2024-09-21,Union Berlin,Hoffenheim,2,1,H,1.2,0.4
2024-09-21,Bochum,Holstein Kiel,2,2,D,0.8,1.9
2024-09-22,Leverkusen,Wolfsburg,4,3,H,1.9,0.7
2024-09-22,Stuttgart,Dortmund,5,1,H,3.4,0.7
2024-09-22,St. Pauli,RB Leipzig,0,0,D,1.4,0.7
2024-09-27,Dortmund,Bochum,4,2,H,3.2,1.3
2024-09-28,Wolfsburg,Stuttgart,2,2,D,1.1,1.8
2024-09-28,Bayern Munich,Leverkusen,1,1,D,1.4,0.1
2024-09-28,Gladbach,Union Berlin,1,0,H,0.9,0.7
2024-09-28,Mainz 05,Heidenheim,0,2,A,0.6,1.2
2024-09-28,Freiburg,St. Pauli,0,3,A,1.2,1.1
2024-09-28,RB Leipzig,Augsburg,4,0,H,3.0,1.1
2024-09-29,Holstein Kiel,Eint Frankfurt,2,4,A,1.1,2.1
2024-09-29,Hoffenheim,Werder Bremen,3,4,A,1.2,2.9
2024-10-04,Augsburg,Gladbach,2,1,H,1.3,0.5
