index,rank,prev_rank,name,league,off,def,spi
0,1,1,Bayern Munich,German Bundesliga,3.41,0.51,92.58
1,2,2,Manchester City,Barclays Premier League,2.85,0.36,91.17
2,3,3,Barcelona,Spanish Primera Division,2.67,0.43,88.48
3,4,4,Paris Saint-Germain,French Ligue 1,2.89,0.62,87.29
4,5,5,Liverpool,Barclays Premier League,2.75,0.6,86.36
5,6,6,Arsenal,Barclays Premier League,2.3,0.38,85.87
6,7,7,Real Madrid,Spanish Primera Division,2.67,0.64,84.81
7,8,8,Napoli,Italy Serie A,2.5,0.73,81.14
8,9,13,FC Porto,Portuguese Liga,2.39,0.67,81.07
9,10,11,RB Leipzig,German Bundesliga,2.48,0.73,81.05
10,11,9,Chelsea,Barclays Premier League,2.16,0.53,80.95
11,12,12,Benfica,Portuguese Liga,2.46,0.73,80.63
12,13,14,Internazionale,Italy Serie A,2.53,0.79,80.42
13,14,10,Ajax,Dutch Eredivisie,2.93,1.07,80.06
14,15,16,Manchester United,Barclays Premier League,2.29,0.66,79.99
15,16,18,Newcastle,Barclays Premier League,2.15,0.58,79.85
16,17,15,Tottenham Hotspur,Barclays Premier League,2.34,0.72,79.36
17,18,17,Brighton and Hove Albion,Barclays Premier League,2.14,0.65,78.19
18,19,19,AC Milan,Italy Serie A,2.28,0.74,78.01
19,20,20,Borussia Dortmund,German Bundesliga,2.33,0.84,76.56
20,21,21,Zenit St Petersburg,Russian Premier Liga,2.09,0.69,76.46
21,22,22,Athletic Bilbao,Spanish Primera Division,1.94,0.61,75.89
22,23,23,Atletico Madrid,Spanish Primera Division,2.0,0.67,75.46
23,24,28,Marseille,French Ligue 1,2.0,0.69,75.12
24,25,27,FC Salzburg,Austrian T-Mobile Bundesliga,2.09,0.78,74.29
25,26,26,Eintracht Frankfurt,German Bundesliga,2.14,0.83,74.07
26,27,24,West Ham United,Barclays Premier League,1.83,0.62,73.78
27,28,25,PSV,Dutch Eredivisie,2.36,1.0,73.75
28,29,34,Bayer Leverkusen,German Bundesliga,2.12,0.84,73.44
29,30,30,Real Sociedad,Spanish Primera Division,1.83,0.64,73.42
30,31,29,AS Roma,Italy Serie A,1.93,0.71,73.41
31,32,31,Feyenoord,Dutch Eredivisie,2.21,0.92,73.07
32,33,32,Villarreal,Spanish Primera Division,1.82,0.65,73.04
33,34,37,SC Freiburg,German Bundesliga,2.11,0.85,72.97
34,35,38,Juventus,Italy Serie A,1.98,0.76,72.89
35,36,44,Aston Villa,Barclays Premier League,1.88,0.72,72.19
36,37,35,Lille,French Ligue 1,1.91,0.74,72.16
37,38,36,Stade Rennes,French Ligue 1,1.96,0.8,71.8
38,39,33,Lyon,French Ligue 1,2.0,0.83,71.75
39,40,40,Sporting CP,Portuguese Liga,1.97,0.81,71.74
40,41,41,Valencia,Spanish Primera Division,1.87,0.75,71.29
41,42,42,Atalanta,Italy Serie A,2.05,0.89,71.16
42,43,46,Fiorentina,Italy Serie A,1.97,0.84,70.88
43,44,39,Palmeiras,Brasileiro Série A,1.81,0.74,70.63
44,45,47,Lens,French Ligue 1,1.82,0.75,70.53
45,46,43,AS Monaco,French Ligue 1,2.03,0.92,70.21
46,47,54,Leicester City,Barclays Premier League,1.95,0.86,70.19
47,48,48,VfL Wolfsburg,German Bundesliga,2.0,0.9,70.07
48,49,49,Osasuna,Spanish Primera Division,1.71,0.69,70.01
49,50,45,Celtic,Scottish Premiership,2.37,1.19,69.9
50,51,52,Real Betis,Spanish Primera Division,1.69,0.69,69.58
