Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BFDH,BFDD,BFDA,BMGMH,BMGMD,BMGMA,BVH,BVD,BVA,BWH,BWD,BWA,CLH,CLD,CLA,LBH,LBD,LBA,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BMGMCH,BMGMCD,BMGMCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,CLCH,CLCD,CLCA,LBCH,LBCD,LBCA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
F2,09/08/2025,13:00,Guingamp,Le Mans,3,3,D,0,2,A,14,10,7,3,16,22,10,5,3,3,0,1,1.67,3.5,4.5,1.67,3.5,4.6,1.61,3.8,5,1.67,3.6,4.75,1.7,3.7,4.75,1.65,3.5,4.4,1.65,3.5,4.4,1.69,3.78,4.86,1.7,3.8,5,1.65,3.63,4.73,1.71,3.7,5,1.95,1.85,1.94,1.88,1.95,1.85,1.92,1.8,1.95,1.86,-0.75,1.93,1.88,1.91,1.93,1.93,1.93,1.82,1.85,1.71,1.6,1.9,3.2,3.7,1.9,3.25,3.75,1.79,3.5,4.1,1.95,3.4,3.8,1.93,3.4,3.75,1.91,3.25,3.6,1.91,3.25,3.6,2,3.44,4.03,2,3.5,4.1,1.89,3.35,3.82,2.04,3.65,4.1,2.05,1.75,2.06,1.82,2.05,1.8,1.97,1.75,2.08,1.89,-0.5,1.95,1.85,2,1.88,1.95,1.97,1.86,1.86,2.04,1.93
F2,09/08/2025,19:00,Dunkerque,Clermont,2,2,D,1,2,A,15,6,4,4,17,9,9,2,2,1,0,0,2.1,3.1,3.2,2.1,3.1,3.25,2.14,3.3,3.2,2.15,3.2,3.2,2.2,3.25,3.25,2.1,3.1,3.1,2.1,3.1,3.1,2.23,3.31,3.27,2.2,3.33,3.3,2.13,3.2,3.2,2.24,3.15,3.4,2.15,1.67,2.19,1.68,2.15,1.7,2.1,1.66,2.16,1.7,-0.25,1.9,1.9,1.93,1.91,1.9,1.9,1.79,1.87,,,2.1,3.1,3.2,2.15,3,3.25,2.08,3.2,3.4,2.2,3.2,3.3,2.2,3.2,3.3,2.1,3,3.2,2.1,3,3.2,2.1,3.22,3.63,2.2,3.25,3.45,2.13,3.13,3.3,2.32,3.45,3.55,2.2,1.65,2.19,1.67,2.2,1.67,2.15,1.64,2.32,1.73,-0.25,1.88,1.93,1.81,2.02,1.88,1.93,1.77,1.89,1.95,2.02
F2,09/08/2025,19:00,Laval,St Etienne,3,3,D,2,2,D,10,10,4,6,11,16,4,7,3,0,1,0,2.8,3.3,2.2,2.88,3.2,2.25,2.95,3.35,2.25,3,3.3,2.25,3,3.4,2.2,2.9,3.25,2.15,2.9,3.25,2.15,3.05,3.36,2.33,3,3.4,2.3,2.92,3.3,2.23,3.1,2.54,2.28,1.9,1.9,1.89,1.93,1.9,1.9,1.85,1.86,1.87,1.94,0.25,1.83,1.98,1.83,2.01,1.83,1.98,1.77,1.88,,,2.6,3.1,2.5,2.75,3,2.5,2.95,3.3,2.28,2.9,3.3,2.38,2.75,3.2,2.45,2.7,3.1,2.4,2.7,3.1,2.4,3.25,3.38,2.3,2.95,3.3,2.5,2.8,3.18,2.4,3.05,3.35,2.64,2.1,1.7,2.16,1.74,2.1,1.74,2.06,1.69,2.22,1.79,0,1.98,1.83,2.34,1.65,2.02,1.83,1.97,1.76,2.13,1.85
F2,09/08/2025,19:00,Montpellier,Red Star,1,1,D,1,1,D,6,7,2,3,16,10,1,2,0,2,0,0,1.85,3.3,3.7,1.9,3.3,3.6,1.9,3.55,3.65,1.85,3.5,3.9,1.9,3.5,3.8,1.85,3.3,3.6,1.85,3.3,3.6,1.89,3.51,4.09,1.91,3.55,3.9,1.87,3.43,3.72,1.9,3.45,4.1,1.93,1.88,1.93,1.88,1.93,1.88,1.88,1.83,1.93,1.88,-0.5,1.9,1.9,1.9,1.93,1.91,1.9,1.87,1.85,,,1.75,3.3,4.1,1.8,3.3,4.2,1.77,3.65,4.1,1.8,3.5,4.4,1.8,3.5,4.2,1.75,3.3,4,1.75,3.3,4,1.81,3.59,4.75,1.83,3.65,4.5,1.78,3.45,4.18,1.89,3.75,4.8,2.08,1.73,2.09,1.79,2.08,1.83,1.97,1.75,2.14,1.85,-0.5,1.8,2,1.81,2.08,1.83,2,1.77,1.95,1.89,2.11
F2,09/08/2025,19:00,Pau FC,Annecy,2,0,H,1,0,H,9,4,3,1,20,18,5,5,2,2,0,1,2.3,3.2,2.75,2.38,3.1,2.8,2.28,3.3,2.95,2.38,3.2,2.88,2.37,3.3,2.85,2.3,3.1,2.75,2.3,3.1,2.75,2.44,3.19,3.03,2.4,3.3,2.95,2.33,3.2,2.86,2.42,3,2.98,1.98,1.83,1.99,1.83,2,1.83,1.95,1.78,1.98,1.83,-0.25,2.08,1.73,2.09,1.77,2.08,1.76,1.93,1.74,,,2.3,3.1,2.8,2.38,3.1,2.8,2.28,3.3,2.95,2.38,3.3,2.9,2.37,3.2,2.95,2.3,3,2.8,2.3,3,2.8,2.42,3.21,3.19,2.4,3.3,3.1,2.32,3.17,2.91,2.52,3.3,3.2,2.05,1.75,2.07,1.8,2.05,1.77,2,1.73,2.14,1.85,-0.25,2.03,1.78,2.07,1.83,2.03,1.78,1.91,1.75,2.16,1.84
F2,09/08/2025,19:00,Rodez,Nancy,0,0,D,0,0,D,11,12,5,2,14,11,4,9,1,2,0,0,2.05,3.25,3.25,2,3.2,3.4,2.07,3.25,3.4,2.05,3.3,3.4,2.05,3.4,3.5,2,3.2,3.3,2,3.2,3.3,2.08,3.3,3.65,2.07,3.4,3.6,2.03,3.27,3.39,2.06,3.35,3.6,2.03,1.78,2.04,1.8,2.03,1.8,1.95,1.77,2.02,1.8,-0.25,1.8,2,1.79,2.06,1.8,2,1.71,1.95,,,2.3,3.1,2.8,2.5,3.1,2.63,2.6,3.2,2.6,2.38,3.4,2.8,2.6,3.25,2.6,2.5,3.1,2.5,2.5,3.1,2.5,2.18,3.32,3.6,2.6,3.4,2.8,2.5,3.18,2.66,2.76,3.25,2.96,2.05,1.75,2.07,1.81,2.05,1.8,1.97,1.75,2.12,1.87,0,1.73,2.08,1.55,2.58,1.83,2.08,1.77,1.96,1.91,2.07
F2,09/08/2025,19:00,Troyes,Grenoble,2,1,H,1,1,D,21,5,9,5,12,14,3,1,1,1,0,1,1.7,3.4,4.33,1.73,3.3,4.5,1.76,3.55,4.25,1.75,3.5,4.4,1.77,3.5,4.5,1.73,3.3,4.2,1.73,3.3,4.2,1.79,3.52,4.63,1.78,3.6,4.6,1.75,3.45,4.34,1.78,3.45,4.9,2.05,1.75,2.05,1.78,2.05,1.75,2,1.73,2.04,1.78,-0.75,2.03,1.78,2.05,1.8,2.03,1.78,1.96,1.71,,,1.85,3.2,3.8,1.9,3.2,3.75,1.76,3.55,4.25,1.93,3.3,4,1.93,3.3,3.9,1.91,3.2,3.7,1.91,3.2,3.7,1.83,3.51,4.78,1.95,3.55,4.25,1.87,3.32,3.97,1.98,3.5,4.6,2.15,1.67,2.18,1.72,2.15,1.72,2.09,1.67,2.26,1.77,-0.5,1.95,1.85,1.83,2.07,1.95,2,1.84,1.88,1.98,1.98
F2,11/08/2025,19:45,Amiens,Reims,2,2,D,1,1,D,10,10,2,4,7,16,8,7,1,1,0,0,4.33,3.3,1.73,4.5,3.3,1.73,4.6,3.55,1.73,4.5,3.5,1.73,4.4,3.4,1.8,4.2,3.3,1.75,4.2,3.3,1.75,5,3.51,1.74,4.75,3.55,1.8,4.46,3.43,1.74,,,,2.1,1.7,2.12,1.72,2.1,1.7,2.07,1.68,,,0.5,2.05,1.75,2.11,1.74,2.05,1.8,2.01,1.73,,,5.25,3.7,1.53,5.5,3.75,1.53,5.4,4,1.55,6,3.75,1.57,5.5,3.9,1.58,5,3.7,1.55,5,3.7,1.55,6.01,3.82,1.63,6,4,1.6,5.49,3.8,1.56,6.2,4,1.67,1.98,1.83,1.86,2.02,1.98,1.98,1.87,1.85,2,1.96,1,1.78,2.03,1.81,2.09,1.8,2.03,1.75,1.93,1.81,2.18
F2,15/08/2025,19:00,Bastia,Pau FC,1,1,D,1,0,H,13,9,5,3,13,6,6,11,2,3,1,1,1.73,3.3,4.33,1.73,3.5,4.5,1.7,3.7,4.5,1.75,3.6,4.4,1.77,3.5,4.5,1.73,3.4,4.2,1.73,3.4,4.2,1.81,3.53,4.86,1.8,3.7,4.5,1.74,3.52,4.41,1.85,3.65,5.2,2.03,1.78,2.06,1.82,2.03,1.8,1.96,1.76,2.06,1.87,-0.5,1.78,2.03,1.81,2.08,1.8,2.1,1.72,2.02,1.85,2.14,1.62,3.6,4.5,1.67,3.75,4.6,1.65,4.1,4.3,1.67,3.8,4.8,1.66,3.75,4.8,1.61,3.6,4.5,1.61,3.6,4.5,1.68,3.94,5.12,1.69,4.1,5.33,1.65,3.81,4.61,1.76,4,5.3,1.83,1.98,1.8,2.07,1.83,2.12,1.75,1.98,1.89,2.08,-0.75,1.85,1.95,1.88,2.02,1.86,1.95,1.8,1.86,1.97,2.01
F2,15/08/2025,19:00,Clermont,Troyes,0,0,D,0,0,D,4,11,1,2,12,12,3,3,2,3,0,0,2.5,3.2,2.5,2.63,3.1,2.63,2.55,3.25,2.6,2.63,3.2,2.63,2.6,3.25,2.55,2.5,3.1,2.5,2.5,3.1,2.5,2.76,3.24,2.73,2.65,3.25,2.71,2.57,3.18,2.59,2.82,3.3,2.8,2.05,1.75,2.07,1.82,2.14,1.76,2.03,1.71,2.14,1.83,0,1.9,1.9,1.95,1.93,1.9,1.91,1.85,1.87,1.98,1.97,2.7,3.2,2.35,2.88,3.2,2.4,2.7,3.25,2.48,2.88,3.25,2.4,2.87,3.2,2.4,2.75,3.1,2.3,2.75,3.1,2.3,3.03,3.23,2.5,3,3.25,2.5,2.8,3.18,2.41,3.1,3.4,2.56,2.1,1.7,2.09,1.79,2.16,1.75,2.05,1.69,2.2,1.81,0.25,1.73,2.08,1.78,2.15,1.73,2.08,1.68,2.01,1.83,2.19
