Country,League,Season,HomePPG,AwayPPG,DeltaPPG,GoalDiffMean,n,Delta_mean,Delta_CI_low,Delta_CI_high
England,Premier League,17-18,1.8,0.9,0.9,0.6,10,0.9,-0.8668012248031146,2.6668012248031148
England,Premier League,18-19,1.6157894736842104,1.1973684210526316,0.41842105263157897,0.3157894736842105,380,0.41842105263157897,0.1484803416722904,0.6883617635908675
England,Premier League,19-20,1.6,1.1578947368421053,0.4421052631578947,0.3105263157894737,380,0.4421052631578947,0.18213118933322658,0.7020793369825629
England,Premier League,20-21,1.355263157894737,1.4263157894736842,-0.07105263157894737,0.010526315789473684,380,-0.07105263157894737,-0.338827217357626,0.19672195419973126
England,Premier League,21-22,1.518421052631579,1.25,0.26842105263157895,0.20789473684210527,380,0.26842105263157895,0.004201886857050474,0.5326402184061074
England,Premier League,22-23,1.681578947368421,1.0894736842105264,0.5921052631578947,0.41578947368421054,380,0.5921052631578947,0.3328524106616501,0.8513581156541392
England,Premier League,23-24,1.5973684210526315,1.186842105263158,0.4105263157894737,0.32105263157894737,380,0.4105263157894737,0.14542791445128306,0.6756247171276644
England,Premier League,24-25,1.4684210526315788,1.2868421052631578,0.18157894736842106,0.09210526315789473,380,0.18157894736842106,-0.08110415618659239,0.4442620509234345
France,Ligue 1,17-18,1.618421052631579,1.1289473684210527,0.48947368421052634,0.3394736842105263,380,0.48947368421052634,0.232238403886448,0.7467089645346047
France,Ligue 1,18-19,1.5842105263157895,1.1263157894736842,0.45789473684210524,0.38421052631578945,380,0.45789473684210524,0.2067119574595495,0.709077516224661
France,Ligue 1,19-20,1.6917562724014337,1.0573476702508962,0.6344086021505376,0.4659498207885305,279,0.6344086021505376,0.3371416084719662,0.931675595829109
France,Ligue 1,20-21,1.3710526315789473,1.3789473684210527,-0.007894736842105263,0.034210526315789476,380,-0.007894736842105263,-0.27029692949091405,0.2545074558067035
France,Ligue 1,21-22,1.5473684210526315,1.1842105263157894,0.3631578947368421,0.35526315789473684,380,0.3631578947368421,0.10660568569267526,0.619710103781009
France,Ligue 1,22-23,1.5289473684210526,1.2289473684210526,0.3,0.17105263157894737,380,0.3,0.03796514017178365,0.5620348598282163
France,Ligue 1,23-24,1.4411764705882353,1.2941176470588236,0.14705882352941177,0.19607843137254902,306,0.14705882352941177,-0.14231946390536634,0.4364371109641899
France,Ligue 1,24-25,1.6045751633986929,1.1928104575163399,0.4117647058823529,0.238562091503268,306,0.4117647058823529,0.11350916021319596,0.7100202515515099
Germany,Bundesliga,17-18,1.6339869281045751,1.0947712418300655,0.5392156862745098,0.4084967320261438,306,0.5392156862745098,0.2571229826686253,0.8213083898803942
Germany,Bundesliga,18-19,1.591503267973856,1.1699346405228759,0.4215686274509804,0.4019607843137255,306,0.4215686274509804,0.13045820014967746,0.7126790547522833
Germany,Bundesliga,19-20,1.4281045751633987,1.3496732026143792,0.0784313725490196,0.1111111111111111,306,0.0784313725490196,-0.21954583505405234,0.37640858015209155
Germany,Bundesliga,20-21,1.5294117647058822,1.2058823529411764,0.3235294117647059,0.3202614379084967,306,0.3235294117647059,0.03597855449946574,0.611080269029946
Germany,Bundesliga,21-22,1.6405228758169934,1.1209150326797386,0.5196078431372549,0.40522875816993464,306,0.5196078431372549,0.23051644069297045,0.8086992455815394
Germany,Bundesliga,22-23,1.6666666666666667,1.088235294117647,0.5784313725490197,0.5392156862745098,306,0.5784313725490197,0.29206266719857016,0.8648000778994691
Germany,Bundesliga,23-24,1.5784313725490196,1.1568627450980393,0.4215686274509804,0.3954248366013072,306,0.4215686274509804,0.13563488688007674,0.707502368021884
